categrie,run_id,created_at,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,embodied_carbon_share_machine,cpu_time_powermetrics_vm,phase_time_syscall_system,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,gpu_energy_powermetrics_component,cores_energy_powermetrics_component
ytb-AdBlockPlus-v2,b2d0fd68-e172-41a9-ab46-9e1c9f570fc6,2026-03-27 13:23:50.307807+01,1,443,1128,48250880,7356416,781577,21748003601,544703000,0,276,214046,3615,6999,38968949
ytb-AdBlockPlus-v2,9f00254f-a303-4966-a35e-aafa0b25540e,2026-03-27 13:39:16.288867+01,1,279,728,73580544,7335936,781620,29405250503,544732908,0,255,130605,3838,5999,41364992
ytb-AdBlockPlus-v2,edff7b14-1473-44db-a7f5-15d0fffca4bd,2026-03-27 13:55:48.044869+01,0,422,1062,49172480,7565312,1236259,20382339603,861583592,0,848,216381,3453,5000,37222977
ytb-noAddBlock-v2,77804b36-cd52-4df2-b6d1-5fec204dd32d,2026-03-27 21:57:14.528787+01,0,106,377,0,0,845,227393625,589248,8,368,0,21,4999,222000
ytb-Ublock-v2,967963d7-5aeb-4ced-b88d-2f5948195610,2026-03-27 22:05:23.071025+01,3,473,1196,83296256,7380992,780855,22269720188,544199984,1,336,210230,3886,28993,41888980
ytb-Ublock-v2,61f84710-6d58-413e-8ea2-c64c6ebb36a1,2026-03-27 22:19:52.93909+01,3,305,808,77381632,8040448,781882,35886140379,544915616,1,336,130492,4622,32988,49812961
ytb-Ublock-v2,e4975597-73d4-43f7-bdd3-87c551a08a97,2026-03-27 22:36:21.786498+01,24,444,1124,86786048,7458816,780853,21263207939,544198474,8,321,166794,3610,256995,38912000
ytb-Ublock-v2,d0ceb874-3a0b-4878-b8fb-918cc89ee5fd,2026-03-27 22:57:06.009075+01,2,476,1203,41156608,7954432,780865,20589418189,544207038,1,311,259445,3509,18993,37816951
ytb-Ublock-v2,9aa1dacd-3a77-49c6-a811-b08926dbecce,2026-03-27 23:10:16.472537+01,3,505,1275,81641472,7954432,781031,19567518150,544322797,1,343,217049,3516,33995,37897993
ytb-Ublock-v2,c4f089cc-ffe2-42cb-b14b-59e65ec2a23c,2026-03-27 23:24:38.952352+01,15,312,840,51675136,8216576,780903,34483983918,544232989,3,359,141820,4532,162988,48845932
ytb-Ublock-v2,4b11f19e-d6f9-4a0d-a473-419a192427ac,2026-03-27 23:41:34.135441+01,2,444,1136,49364992,7303168,781105,23638087601,544373902,0,330,212687,3687,16994,39736948
ytb-Ublock-v2,ffa6aa13-e1d9-40f1-939b-52318bc4ea7c,2026-03-28 00:17:50.812505+01,1,440,1134,48201728,7286784,780707,24157628936,544097048,0,352,205269,3750,15998,40420987
ytb-Ublock-v2,f87dbc3b-2b96-4192-88b2-e0c1eb23af6a,2026-03-28 00:42:30.678007+01,1,82,281,45924352,4661248,785690,7286774396,547569426,0,251,71792,1065,14000,11479964
ytb-noAddBlock-v2,27fe4249-c601-4494-8f84-76429cdfd9ca,2026-03-28 10:35:08.785393+01,10,116,380,33685504,1110016,786324,18084042087,548011153,2,302,4104,2416,112991,26039941
ytb-noAddBlock-v2,470fb294-0e4e-45e3-b918-c4d18f0a5f1a,2026-03-28 10:49:21.423103+01,2,189,522,32817152,1015808,787321,9673112978,548706121,0,302,29701,1740,19994,18754946
ytb-noAddBlock-v2,37d5b2ed-e100-442d-ad2b-4412e8bab025,2026-03-28 11:03:28.685247+01,3,177,510,5275648,962560,786297,12101274477,547992269,1,297,3436,1890,27997,20369940
ytb-premium-v2,f0b7fb9a-fe4d-4f5e-9151-a4d10eb9ef4b,2026-03-28 12:20:33.293597+01,0,46,236,0,65536,850,151188166,592591,7,485,110592,13,3999,139999
